2018-06-10 01:11:13.616 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-06-10 01:11:13.616 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-06-10 01:11:13.662 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:11:13.662 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:11:13.692 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:11:14.015 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-06-10 01:11:14.031 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2018-06-10 01:11:14.035 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2018-06-10 01:11:14.044 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-06-10 01:11:14.054 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 10086 (http)
2018-06-10 01:11:14.055 [main] INFO  c.s.s.c.springbootssm.config.rouorcesConfig.Runner - runner init.....
2018-06-10 01:11:14.056 [main] INFO  com.springbootpro.ssm.SsmApplication - Started SsmApplication in 2.725 seconds (JVM running for 3.382)
2018-06-10 01:11:22.337 [http-nio-10086-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-06-10 01:11:22.337 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-06-10 01:11:22.358 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 21 ms
2018-06-10 01:11:22.366 [http-nio-10086-exec-1] INFO  c.s.s.c.s.config.webConfig.FilterConfig - pass by my filter
2018-06-10 01:11:22.642 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 使用数据源 : {} > {} 
ds2User com.springbootpro.ssm.com.springbootssm.service.ITestUserService.getUserInTestDB()
2018-06-10 01:11:22.676 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 该数据源已使用完毕,正在销毁....
2018-06-10 01:11:22.676 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 销毁完毕...
2018-06-10 01:11:22.677 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 使用数据源 : {} > {} 
ds1User com.springbootpro.ssm.com.springbootssm.service.ITestUserService.saveUserInMall()
2018-06-10 01:11:22.713 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 该数据源已使用完毕,正在销毁....
2018-06-10 01:11:22.714 [http-nio-10086-exec-1] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 销毁完毕...
2018-06-10 01:11:22.772 [http-nio-10086-exec-2] INFO  c.s.s.c.s.config.webConfig.FilterConfig - pass by my filter
2018-06-10 01:11:22.775 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 使用数据源 : {} > {} 
ds2User com.springbootpro.ssm.com.springbootssm.service.ITestUserService.getUserInTestDB()
2018-06-10 01:11:22.777 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 该数据源已使用完毕,正在销毁....
2018-06-10 01:11:22.777 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 销毁完毕...
2018-06-10 01:11:22.777 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 使用数据源 : {} > {} 
ds1User com.springbootpro.ssm.com.springbootssm.service.ITestUserService.saveUserInMall()
2018-06-10 01:11:22.778 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 该数据源已使用完毕,正在销毁....
2018-06-10 01:11:22.778 [http-nio-10086-exec-2] INFO  c.s.s.c.s.c.d.DynamicDataSourceAspect - 销毁完毕...
2018-06-10 13:45:14.787 [main] INFO  com.springbootpro.ssm.SsmApplication - project init
2018-06-10 13:45:15.119 [main] INFO  com.springbootpro.ssm.SsmApplication - Starting SsmApplication on DESKTOP-ENODUB5 with PID 140032 (G:\ideaPro\springbootssm\target\classes started by Elliot in G:\ideaPro\springbootssm)
2018-06-10 13:45:15.119 [main] INFO  com.springbootpro.ssm.SsmApplication - No active profile set, falling back to default profiles: default
2018-06-10 13:45:15.184 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2018-06-10 13:45:15.239 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@75f32542: startup date [Sun Jun 10 13:45:15 CST 2018]; root of context hierarchy
2018-06-10 13:45:15.293 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源环境...
2018-06-10 13:45:15.293 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载主数据源....
2018-06-10 13:45:15.323 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 主数据源加载完毕...
2018-06-10 13:45:15.323 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载更多数据源...
2018-06-10 13:45:15.323 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源:ds1
2018-06-10 13:45:15.331 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化ds1完毕
2018-06-10 13:45:15.332 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源:ds2
2018-06-10 13:45:15.337 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化ds2完毕
2018-06-10 13:45:15.337 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 更多数据源加载完毕
2018-06-10 13:45:15.337 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化完毕...
2018-06-10 13:45:15.678 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
